$	131
24	25
25	26
26	27
27	28
20	21
21	22
22	23
23	24
28	29
29	30
0	1
4	5
8	9
^	129
119	120
120	121
121	122
122	123
123	124
124	125
125	126
126	127
127	128
118	119
59	60
58	59
55	56
54	55
57	58
56	57
51	52
50	51
53	54
52	53
115	116
114	115
88	89
89	90
111	112
110	111
113	114
112	113
82	83
83	84
80	81
81	82
86	87
87	88
84	85
85	86
#	130
3	4
7	8
108	109
109	110
102	103
103	104
100	101
101	102
106	107
107	108
104	105
105	106
39	40
38	39
33	34
32	33
31	32
30	31
37	38
36	37
35	36
34	35
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
2	3
6	7
99	100
98	99
91	92
90	91
93	94
92	93
95	96
94	95
97	98
96	97
11	12
10	11
13	14
12	13
15	16
14	15
17	18
16	17
19	20
18	19
117	118
116	117
48	49
49	50
46	47
47	48
44	45
45	46
42	43
43	44
40	41
41	42
1	2
5	6
9	10
77	78
76	77
75	76
74	75
73	74
72	73
71	72
70	71
79	80
78	79
